34.75,0.01,2.19,2.18
19.28,0.01,2.23,2.22
18.02,0.10,2.27,2.17
18.59,0.12,2.29,2.17
16.34,0.26,2.30,2.04
13.86,0.48,2.30,1.82
12.22,0.69,2.30,1.61
10.44,0.90,2.31,1.40
5.84,1.16,2.18,1.02
6.24,1.36,2.23,0.86
4.25,1.59,2.26,0.66
3.97,1.74,2.30,0.56
0.16,2.03,2.30,0.27
0.61,2.14,2.30,0.16
0.07,2.22,2.30,0.07
-0.46,2.31,2.31,0.00
0.95,2.26,2.32,0.06
-0.46,2.32,2.32,-0.01
0.86,2.26,2.31,0.05
-0.53,2.33,2.32,-0.01
1.04,2.26,2.32,0.05
-0.72,2.35,2.32,-0.02
0.98,2.28,2.33,0.05
0.35,2.29,2.33,0.04
-0.89,2.37,2.33,-0.04
1.20,2.28,2.33,0.05
-1.11,2.37,2.32,-0.05
0.82,2.28,2.31,0.02
-0.87,2.35,2.30,-0.05
0.57,2.29,2.30,0.01
0.28,2.30,2.32,0.02
0.19,2.31,2.33,0.02
0.19,2.31,2.33,0.02
-0.68,2.37,2.33,-0.04
0.81,2.30,2.33,0.03
-0.90,2.36,2.31,-0.05
0.78,2.30,2.32,0.02
0.27,2.31,2.34,0.02
0.03,2.33,2.34,0.01
-0.11,2.33,2.32,-0.01
-0.12,2.33,2.31,-0.01
-0.08,2.33,2.31,-0.02
-0.62,2.38,2.33,-0.05
0.58,2.33,2.34,0.01
-0.74,2.38,2.33,-0.05
0.49,2.33,2.33,0.01
0.25,2.33,2.34,0.01
0.06,2.33,2.33,0.01
-0.02,2.33,2.32,-0.00
-1.18,2.40,2.32,-0.08
0.94,2.31,2.33,0.02
-0.76,2.37,2.33,-0.04
0.79,2.31,2.33,0.03
-1.03,2.38,2.32,-0.06
0.82,2.31,2.33,0.02
0.24,2.31,2.33,0.02
-0.78,2.35,2.30,-0.04
-1.58,2.34,2.21,-0.12
-2.85,2.37,2.13,-0.24
-2.23,2.17,1.92,-0.26
-3.94,2.04,1.67,-0.37
-4.65,1.82,1.35,-0.47
-3.47,1.57,1.13,-0.44
-0.32,1.30,1.08,-0.23
0.02,1.06,0.95,-0.11
-3.02,1.14,0.90,-0.24
3.31,1.07,1.16,0.09
3.85,1.09,1.37,0.28
1.46,1.22,1.44,0.22
-1.48,1.42,1.42,0.01
2.20,1.28,1.42,0.14
1.06,1.33,1.46,0.13
-0.42,1.52,1.55,0.03
1.73,1.41,1.53,0.12
-3.27,1.54,1.39,-0.15
