100.22,0.01,2.22,2.20
-39.86,0.01,2.24,2.22
-9.67,0.26,2.28,2.01
1.14,0.27,2.29,2.03
32.02,0.01,2.30,2.29
43.03,0.12,2.30,2.18
-9.98,0.17,2.30,2.13
-5.22,0.10,2.31,2.21
0.22,0.09,2.19,2.11
26.37,0.23,2.23,2.00
33.83,0.10,2.27,2.17
-3.62,0.24,2.29,2.05
-2.81,0.25,2.30,2.05
9.93,0.12,2.30,2.18
22.28,0.11,2.30,2.19
14.88,0.33,2.31,1.97
-3.42,0.59,2.32,1.73
5.72,0.50,2.31,1.81
5.37,0.65,2.31,1.66
10.96,0.87,2.32,1.44
5.24,1.10,2.32,1.21
-3.91,1.36,2.33,0.97
9.21,1.29,2.32,1.04
1.59,1.45,2.33,0.89
5.76,1.54,2.33,0.79
-4.60,1.82,2.33,0.51
1.46,1.85,2.31,0.47
6.53,1.84,2.31,0.47
-1.81,1.99,2.30,0.31
2.23,2.06,2.31,0.25
-2.29,2.12,2.32,0.21
5.86,2.02,2.33,0.31
-2.58,2.17,2.33,0.15
0.50,2.20,2.33,0.13
3.51,2.13,2.32,0.20
-6.95,2.32,2.31,-0.00
5.45,2.27,2.32,0.05
-0.29,2.29,2.34,0.05
-1.93,2.36,2.33,-0.03
2.11,2.31,2.32,0.01
-3.08,2.33,2.31,-0.02
5.89,2.23,2.32,0.08
-3.81,2.35,2.34,-0.01
-1.44,2.37,2.33,-0.04
8.78,2.14,2.33,0.19
-5.06,2.25,2.33,0.08
3.29,2.22,2.34,0.12
0.31,2.15,2.33,0.18
-6.90,2.35,2.32,-0.03
7.60,2.27,2.32,0.06
-1.27,2.29,2.33,0.04
2.28,2.26,2.33,0.07
-5.61,2.39,2.33,-0.06
0.83,2.31,2.32,0.01
7.83,2.19,2.33,0.14
-6.89,2.38,2.33,-0.05
-0.10,2.36,2.29,-0.06
2.66,2.11,2.20,0.09
-6.21,2.19,2.08,-0.11
-2.01,2.10,1.86,-0.24
-1.72,1.78,1.55,-0.23
-2.48,1.57,1.26,-0.31
2.15,1.44,1.12,-0.31
-3.35,1.33,1.02,-0.31
-10.89,1.41,0.88,-0.54
15.43,1.12,0.98,-0.15
4.79,1.16,1.21,0.05
-3.21,1.32,1.37,0.05
-5.92,1.39,1.44,0.05
2.07,1.17,1.40,0.23
12.99,1.07,1.44,0.37
-3.82,1.31,1.49,0.18
1.04,1.33,1.57,0.24
-5.07,1.24,1.47,0.24
-1.91,1.26,1.35,0.09
19.27,1.02,1.39,0.38
-2.35,1.09,1.44,0.34
-0.57,1.18,1.54,0.35
3.93,0.97,1.55,0.59
-1.50,1.02,1.54,0.52
1.09,1.04,1.36,0.32
-2.51,1.17,1.29,0.12
10.77,1.04,1.36,0.32
0.59,1.18,1.48,0.30
-6.60,1.35,1.50,0.15
5.81,1.23,1.52,0.29
8.89,1.25,1.71,0.47
3.00,1.48,1.91,0.43
2.11,1.61,2.10,0.49
-6.14,1.79,2.21,0.41
5.47,1.80,2.25,0.45
6.41,1.84,2.29,0.45
-5.35,2.11,2.30,0.19
2.00,2.10,2.29,0.19
0.36,2.08,2.30,0.22
2.22,2.12,2.30,0.19
-3.52,2.32,2.31,-0.01
-0.22,2.30,2.30,-0.01
8.54,2.10,2.30,0.20
-4.00,2.22,2.31,0.09
1.16,2.22,2.32,0.10
0.68,2.13,2.30,0.18
-1.68,2.20,2.30,0.10
1.97,2.28,2.31,0.03
1.63,2.21,2.30,0.09
-3.34,2.32,2.30,-0.02
-0.40,2.35,2.30,-0.05
7.86,2.14,2.31,0.17
-4.21,2.26,2.31,0.05
-0.29,2.27,2.30,0.03
5.53,2.07,2.30,0.22
-3.10,2.17,2.31,0.13
2.26,2.20,2.31,0.10
-0.52,2.21,2.32,0.11
3.60,2.15,2.34,0.19
-3.58,2.30,2.34,0.04
0.17,2.29,2.33,0.04
3.66,2.20,2.31,0.11
-5.70,2.38,2.31,-0.07
4.05,2.33,2.31,-0.02
-1.91,2.35,2.32,-0.03
2.50,2.30,2.33,0.02
-3.79,2.42,2.32,-0.10
-0.64,2.39,2.31,-0.08
10.36,2.18,2.35,0.17
-5.37,2.31,2.37,0.06
1.61,2.29,2.39,0.10
5.30,2.20,2.49,0.29
-3.86,2.42,2.60,0.17
6.84,2.44,2.68,0.24
-2.83,2.51,2.72,0.21
3.63,2.46,2.74,0.27
-0.16,2.57,2.77,0.20
-1.23,2.61,2.77,0.16
8.94,2.49,2.81,0.31
-4.72,2.63,2.83,0.20
2.17,2.61,2.82,0.21
-0.89,2.63,2.81,0.18
5.22,2.57,2.84,0.27
-1.32,2.77,2.89,0.13
-1.20,2.76,2.88,0.12
1.01,2.70,2.83,0.13
4.53,2.74,2.92,0.18
-7.73,2.91,2.86,-0.05
2.38,2.88,2.85,-0.03
0.15,2.85,2.83,-0.02
-6.57,2.97,2.74,-0.23
5.46,2.89,2.73,-0.16
-3.01,2.91,2.74,-0.17
-0.67,2.92,2.74,-0.19
4.92,2.76,2.74,-0.02
-4.73,2.84,2.78,-0.07
1.38,2.83,2.78,-0.05
-3.41,2.75,2.67,-0.08
-1.31,2.70,2.56,-0.14
0.51,2.57,2.40,-0.17
-2.10,2.55,2.33,-0.22
