31.85,0.01,2.21,2.20
7.77,0.01,2.23,2.22
4.60,0.12,2.27,2.15
3.44,0.14,2.29,2.15
4.17,0.19,2.30,2.11
9.14,0.20,2.30,2.10
6.38,0.48,2.30,1.82
4.52,0.69,2.31,1.61
0.87,0.90,2.18,1.28
3.45,1.00,2.23,1.23
2.84,1.22,2.26,1.04
3.54,1.33,2.29,0.97
3.72,1.35,2.30,0.94
0.74,1.59,2.30,0.71
0.78,1.71,2.30,0.59
2.70,1.65,2.31,0.66
1.19,1.81,2.32,0.51
0.61,1.94,2.32,0.38
0.97,1.96,2.31,0.35
0.44,2.04,2.32,0.28
-0.33,2.17,2.32,0.15
1.38,2.10,2.32,0.22
0.73,2.14,2.33,0.19
-0.63,2.27,2.33,0.06
0.64,2.21,2.33,0.12
0.55,2.21,2.33,0.12
-0.26,2.27,2.32,0.05
0.69,2.21,2.31,0.09
0.31,2.21,2.30,0.09
-0.11,2.27,2.31,0.04
0.07,2.29,2.32,0.03
1.02,2.21,2.33,0.11
0.61,2.21,2.33,0.11
-0.13,2.27,2.33,0.06
0.60,2.21,2.33,0.11
0.26,2.21,2.31,0.10
-0.06,2.27,2.32,0.05
1.01,2.21,2.34,0.12
0.17,2.24,2.33,0.09
-0.95,2.34,2.32,-0.02
0.28,2.28,2.31,0.03
0.20,2.29,2.32,0.02
0.03,2.34,2.33,-0.01
0.55,2.29,2.33,0.04
0.08,2.30,2.33,0.03
-0.37,2.34,2.33,-0.01
0.72,2.28,2.34,0.06
0.07,2.29,2.33,0.04
-0.08,2.31,2.32,0.02
0.26,2.29,2.32,0.03
0.11,2.30,2.33,0.03
-0.08,2.32,2.33,0.01
0.32,2.30,2.33,0.03
-0.15,2.31,2.32,0.01
0.37,2.30,2.33,0.03
-0.69,2.38,2.33,-0.05
0.29,2.29,2.30,0.01
-1.74,2.34,2.20,-0.14
-1.85,2.34,2.10,-0.23
-1.84,2.18,1.90,-0.28
-3.10,2.06,1.62,-0.45
-4.10,1.94,1.30,-0.65
